company_code,company_name,report_year,doc_id,issue_name,original_issue_name,anchor_type,source_page,source_page_warning,evidence_snippet,has_policy_ref,has_scope_statement,has_case_study,has_kpi_value,has_yoy_change,has_method_note,has_assurance,verifiability_score,spotlight_bias_flag,risk_tone,matrix_importance,llm_success
002142,宁波银行(宁银消金),2022,2022-1216331264,公司治理/风险管理,,,4,,一、报告范围 报告组织范围：本报告以宁波银行股份有限公司为主体部分，涵 盖总行、各分行、宁波地区支行，部分内容涉及子公司永赢基金管理 有限公司、永赢金融租赁有限公司、宁银理财有限责任公司、浙江宁 银消；三、数据说明 本报告所披露的各项数据与信息主要通过以下方式获取：我行内 部相关统计报表，日常梳理、总结的社会责任实践案例，基于报告框 架的定性与定量信息采集；--- ## 第 4 页 宁波银行股份有限公司 2022 年度社会责任报告 目录 致 辞 .............................................. 1 一、关于我们,False,True,True,True,False,True,False,3,False,展示性,未出现,True
002142,宁波银行(宁银消金),2023,2023-1219551828,公司治理/风险管理,,,119,,--- ## 第 2 页 (cid:17653) (cid:11612) (cid:21098)(cid:7314)(cid:25478)(cid:28717)(cid:22099)(cid:2547,False,False,False,False,False,False,False,0,False,展示性,未出现,True
002142,宁波银行(宁银消金),2024,2024-1223045161,公司治理/风险管理,,,5,,报告范围 报告的组织范围：本报告以宁波银行股份有限公司为主 制，并与中国人民银行《金融机构环境信息披露指 南》、原中国银行保险监督管理委员会《关于加强银行 业金融机构社会责任的意见》和中国银行业协会《；数据来源 报告获取 本报告所披露的各项信息主要来自我行内部相关统计报 您可以在深交所网站 (www.szse.cn) 以及宁波银行 表，日常梳理、总结的 ESG 实践案例；如因统计口径或统 股份有限公司网站 (www.nbcb.com.cn) 下载本报 计方法发生变化，导致与往年报告数据不一致，将在本报 告电子文本,False,True,True,True,True,False,False,4,False,平衡（含挑战）,未出现,True
002142,宁波银行(宁银消金),2025,2025-1225189445,公司治理/风险管理,,,4,,报告范围 行）》《深圳证券交易所上市公司自律监管指南第 � 号⸺可 持续发展报告编制》的披露要求进行编制，并与中国人民银行 《金融机构环境信息披露指南》、原中国银行保险监督管理委 报告的组织范围：本报；本报告所涉及的主要分行、宁波 地区支行及子公司名单列示如下： 序号 公司全称 永赢基金管理有限公司 永赢金融租赁有限公司 宁银理财有限责任公司 简称 永赢基金 永赢金租 宁银理财 浙江宁银消费金融股份；数据来源 本报告所披露的各项信息主要来自我行内部相关统计报表， 日常梳理、总结的 ESG 实践案例,False,True,True,True,True,False,False,4,False,平衡（含挑战）,未出现,True
002807,江阴银行,2021,2021-1212725606,公司治理/风险管理,,,1,页码可能不准确（封面/目录页）,--- ## 第 1 页 2021 江 阴 银 行 社会责任报告 Corporate Social Responsibility Report 股票简称：江阴银行 股票代码：002807 --- ##；03 --- ## 第 8 页 公司组织架构 江苏江阴农村商业银行股份有限公司 股东大会 董事会 监事会 行长室 董事会办公室 战略发展委员会 风险管理委员会 关联交易控制委员会 审 计 委 员 会 ；工作层级 配备 具体职责 决策层 董事会及其专门委员会 1.讨论社会责任相关风险及机会 2.负责社会责任信息披露工作 3.调配资源配合社会责任工作开展 4.跟进上市规则和银行业关于环境、社会信息 披露,False,True,True,True,False,False,False,3,False,展示性,未出现,True
002807,江阴银行,2022,2022-1216234647,公司治理/风险管理,,,1,页码可能不准确（封面/目录页）,--- ## 第 1 页 江阴农商银行 JIANGYINRURALCOMMERCIALBANK 2022 江阴银行 社会责任报告 CorporateSocial ResponsibilityRepor；- 02- --- ## 第 7 页 2022年社会责任报告 公司组织架构 江苏江阴农村商业银行股份有限公司 股东大会 董事会办公室 Y 监事会办公室 董事会 监事会 贝 审计监督委员会 战略发展委员；强化重点风险管理，加强对大额贷款、纯线上贷款、房地产贷款、资金业务 等重点领域的风险管理，保障全行有序运营,False,True,True,True,True,False,False,4,False,展示性,未出现,True
002807,江阴银行,2023,2023-1219469611,公司治理/风险管理,,,4,,"--- ## 第 1 页 2023年 环境、社会及 治理(ESG)报告 Environmental, Social and Governance Report 2023 股票简称：江阴银行 股票代码：；报告范围 组织范围：本报告覆盖江苏江阴农村商业银行股份有限公司总行及辖内机构；编制依据 中国证券监督管理委员会《上市公司治理准则》（2018） 全球报告倡议组织（GRI）《可持续发展报告标准（GRI Standards）(2021)》 国家标准《社会责任报告编制指南》（GB/T",True,True,True,True,False,False,False,4,False,展示性,高,True
002807,江阴银行,2024,2024-1222944077,公司治理/风险管理,,,5,,"--- ## 第 1 页 2024年 环境、社会及 治理(ESG)报告 Environmental, Social and Governance Report 2024 股票简称：江阴银行 股票代码：；报告范围 组织范围：本报告覆盖江苏江阴农村商业银行股份有限公司总行及辖内机构；编制依据 中国证券监督管理委员会《上市公司治理准则》（2018） 《深圳证券交易所上市公司自律监管指引第17号——可持续发展报告（试行）》《上市公司自律监管 指南第3号——可持续发展报告编制》 全球可",True,True,True,True,False,False,False,4,False,展示性,未出现,True
002807,江阴银行,2025,2025-1225234343,公司治理/风险管理,,,4,,--- ## 第 1 页 1 深耕本土 赋能实体经济共生共荣 助力区域发展合规稳健 筑牢发展根基绿色引领 共建美丽中国 --- ## 第 2 页 目录 关于本报告 董事长致辞 关于江阴银行 公司介绍 ；报告范围 组织范围 本报告覆盖江苏江阴农村商业银行股份有限公司总行及辖内机构；《深圳证券交易所上市公司自律监管指引第 17 号——可持续发展报告（试行）》 《深圳证券交易所上市公司自律监管指南第 3 号——可持续发展报告编制（2025 年 9 月修订征求意见稿）》 中国证券监督,False,True,True,True,False,False,False,3,False,平衡（含挑战）,未出现,True
002839,张家港银行,2021,2021-1212708642,公司治理/风险管理,,,3,,--- ## 第 1 页 SUSTAINABILITY REPORT ����年度 可持续发展报告 --- ## 第 3 页 CONTENTS 目录 四、履行社会责任 1. 保护消费者权益 2. 热心；BASIC INFORMATION 基本信息 公司中文名称 江苏张家港农村商业银行股份有限公司 公司英文名称 Jiangsu Zhangjiagang Rural Commercial Bank Co；11/12 --- ## 第 8 页 01 公司概况 HONOR 荣誉认可 序号 认可及荣誉 评选机构 2021年全球银行1000强第614位 英国《银行家》杂志 小微金融事业部获评“第20届全国青年,False,False,True,True,False,True,False,2,False,平衡（含挑战）,未出现,True
002839,张家港银行,2022,2022-1216235254,公司治理/风险管理,,,4,,--- ## 第 1 页 2022年度 可持续发展报告 SUSTAINABILITY REPORT 中国农村金融先行者 --- ## 第 3 页 中国农村金融先行者 目录 1 公司概况 1. 关键指标；基本信息 BASIC INFORMATION 公司中文名称 江苏张家港农村商业银行股份有限公司 公司英文名称 Jiangsu Zhangjiagang Rural Commercial Bank Co；强化舆情管控，修订《张家港农村商业银行声誉风险管理实施细则》，成 立声誉风险管理联络工作组，开展声誉风险处置应急演练，做到严把关、严审核，确保政 治安全和意识形态安全,False,False,False,True,False,True,False,1,False,展示性,未出现,True
002839,张家港银行,2023,2023-1219911283,公司治理/风险管理,,,4,,--- ## 第 2 页 目录 CONTENT 第一篇 公司概况 关键指标 基本信息 公司简介 组织架构 社会责任理念 第三篇 履行经济责任 支持民营企业 扶持小微企业 服务三农和乡村振兴 发展科技金；经中国 小、服务实体经济、服务城乡居民的市场 定位，围绕立足张家港、布局江苏、辐射长 三角的区域性商业银行发展方向，致力塑 02 03 公司概况 --- ## 第 5 页 组织架构 张家港农村商业银行,False,False,False,True,False,True,False,1,False,展示性,未出现,True
002839,张家港银行,2024,2024-1222945525,公司治理/风险管理,,,3,,--- ## 第 1 页 2024 张家港行 可持续发展报告 SUSTAINABILITY REPORT --- ## 第 2 页 目录 01 公司概况 关键指标 基本信息 公司简介 组织架构 社会责；04 05 --- ## 第 6 页 组织架构 张家港行2024年度可持续发展报告 股东大会 监事会 监事会办公室 监督委员会 提名委员会 董事会 董事会办公室 审计部 战略发 展委员会 风险管 理与；10 11 --- ## 第 9 页 评选机构 英国《银行家》杂志 中华全国总工会 张家港行2024年度可持续发展报告 荣誉认可 序号 认可及荣誉 排名全球银行1000强第530位 全国模范职工之家 ,False,False,True,True,False,True,False,2,False,展示性,未出现,True
002839,张家港银行,2025,2025-1225053467,公司治理/风险管理,,,13,,--- ## 第 1 页 深 耕 普 惠 · 赋 能 发 展 江苏张家港农村商业银行股份有限公司 公司地址 ：江苏省张家港市杨舍镇人民中路66号 公司官网 ：https://www.zrcbank.c；使用标准声明 深圳证券交易所《深圳证券交易所上市公司自律监管指引第17号——可持续发展报告（试行）》 深圳证券交易所《深圳证券交易所上市公司自律监管指南第3号——可持续发展报告编制》 国家标准GB/T；2025年，我们持续优化公司治理架构，强化董事会各专门委员会职能， 索金融服务实体经济、促进可持续发展的崭新路径,True,False,False,True,True,False,False,3,False,展示性,未出现,True
002936,郑州银行,2021,2021-1212750891,公司治理/风险管理,,,3,,报告范围 本报告涵盖的范围与上一份报告相同，包括郑州银行总行、分支机构及附属公司；报告内的财务数据为本行及子公司 的合并报表数据；编制依据 本行遵循《香港联合交易所有限公司证券上市规则》附录二十七《环境、社会及管治报告指引》（“《指引》”）以 及参照《深圳证券交易所上市公司自律监管指引第 1 号——主板上市公司规范运作》 编制本,False,True,True,True,False,True,True,3,False,展示性,未出现,True
002936,郑州银行,2022,2022-1216278357,公司治理/风险管理,,,3,,报告范围 本行披露有关历史数据的关键绩效指标可予计量， 并于可行情况下披露量化数据所用标准、方法、假 设及／或计算工具的资料，以及所使用的转换因子 的来源；报告内的财务数据为本行及 本报告不偏不倚地呈报本行于报告期内的表现，避 子公司的合并报表数据；本报告亦参考全球报告倡议组织《GRI可持续发展报告 标准》（2021版）（GRI Standards 2021）、原中国 银行业监督管理委员会《关于加强银行业金融机构社会 责任的意见》、中国银行业协会,False,True,True,True,False,True,True,3,False,展示性,未出现,True
002936,郑州银行,2023,2023-1219447779,公司治理/风险管理,,,3,,--- ## 第 1 页 管治 社会 环境 2 23 社会责任报告 H 股股份代码：6196 A 股股份代码：002936 郑州银行股份有限公司 --- ## 第 2 页 CONTENTS 目录 关于；报告范围 02 数据收集 本报告中涉及的财务数据来自本行按照中国企业会计准则和国际财务报告准则计算的 2023 年度财务报表，除特别注明，本 报告涉及的财务数据按照前述准则计算结果并无差异；本行 2023 年度财务报表已经由会计师事务所审计,False,True,True,True,False,True,True,3,False,展示性,未出现,True
002936,郑州银行,2024,2024-1222927737,公司治理/风险管理,,,4,,报告范围 报告的组织范围 ：本报告以郑州银行股份有限公司为主 体，涵盖郑州银行总行、分支机构及附属公司；本报告所披露的信息和数据来源于郑州银行股份有限公司内 部正式文件、统计报告、年度报告以及日常整理的ESG实践 案例；本行2024年度财务报表已经由会计师事务所审计,False,True,True,True,True,False,True,4,False,展示性,未出现,True
002936,郑州银行,2025,2025-1225059575,公司治理/风险管理,,,3,,并确认年度实质性议题，确保报告内容聚焦于对本行及 记载、误导性陈述或重大遗漏，并对其内容的真实性、 本报告为本行发布的2025年度可持续发展(ESG)报告，阐述本行于2025年度的可持续发展表现；本 报 告 由 联 合 报告范围 • 报告的组织范围 ：本报告涵盖的范围与上一份报告相同，包括郑州银行总行、分行及支行、附属公司；本报告所披露的信息和数据来源于郑州银行内部文件、统 计报告、年度报告以及日常整理的ESG实践案例,True,True,True,True,True,False,True,5,False,展示性,未出现,True
002948,青岛银行,2021,2021-1212688376,公司治理/风险管理,,,6,,--- ## 第 1 页 （于中华人民共和国注册成立的青岛银行股份有限公司） （H 股股份代号：3866) （优先股股份代号：4611) （A 股证券代码：002948） 2 0 2 1 社 会 责 ；报告周期 年度报告 报告范围 本报告以青岛银行股份有限公司为主体部分，涵盖总行、分支行及附属公司，除特别注明；编制依据 本报告根据深圳证券交易所《深圳证券交易所上市公司自律监管指引第1号 — 主板上市公司规范运作》、香港联合交易所有 限公司《环境、社会及管治报告指引》的披露建议进行编制，并参考 ： 全球报告倡,False,True,True,True,True,False,True,4,False,展示性,未出现,True
002948,青岛银行,2022,2022-1216303439,公司治理/风险管理,,,5,,--- ## 第 1 页 （于中华人民共和国注册成立的青岛银行股份有限公司） （H 股股份代号：3866) （A 股证券代码：002948） 2022 社 会 责 任 报 告 CORPORATE SO；报告周期 年度报告 报告范围 本报告以青岛银行股份有限公司为主体部分，涵盖 总行、分支行及附属公司，除特别注明；利益相关 本报告提请毕马威华振会计师事务所（特殊普通合 方沟通和实质性评估过程和结果详见“社会责任治 伙）按照《国际鉴证业务准则第3000号 ：历史财务 理”章节,False,True,True,True,True,False,True,4,False,展示性,未出现,True
002948,青岛银行,2023,2023-1219448240,公司治理/风险管理,,,12,,--- ## 第 1 页 （于中华人民共和国注册成立的青岛银行股份有限公司） （H 股股份代号：3866) （A 股证券代码：002948） 2023 社会责任报告 CORPORATE SOCIAL ；报告周期 年度报告 报告范围 除特别注明，本报告以青岛银行股份有限公司为主体 部分，涵盖总行、分支行及附属公司；数据说明 报告中的财务数据来自2023年度财务报告，并经毕 马威华振会计师事务所（特殊普通合伙）独立审计,True,True,True,True,True,False,True,5,False,展示性,低,True
002948,青岛银行,2024,2024-1222910646,公司治理/风险管理,,,1,页码可能不准确（封面/目录页）,--- ## 第 3 页 目录 04 报告编制说明 06 董事长致辞 08 关于青岛银行 01 02 党建引领 夯实发展根基 担当作为 服务实体经济 16 党建引领航向 18 完善公司治理 20 战略；报告周期 年度报告 报告范围 除特别注明，本报告以青岛银行股份有限公司为 主体部分，涵盖总行、分支行及附属公司；重要性 ：本行已通过利益相关方参与及重要 本报告提请毕马威华振会计师事务所（特殊普通 性评估，确定重要环境、社会及管治议题,False,True,True,True,True,False,True,4,False,展示性,未出现,True
002948,青岛银行,2025,2025-1225036797,公司治理/风险管理,,,6,,--- ## 第 1 页 （于中华人民共和国注册成立的股份有限公司） （H 股股份代号：3866) （A 股证券代码：002948） 可持续发展报告 Sustainability Report 202；报告周期 年度报告 报告范围 数据说明 报告中的财务数据来自2025年度财务报告，并经 安 永 华 明 会 计 师 事 务 所（特 殊 普 通 合 伙）独 立 审 计；其他数据主 要来自本行内部系统及附属公司、各分支机构统计 数据，相关案例来自日常工作实践总结,False,True,True,True,True,False,True,4,False,平衡（含挑战）,未出现,True
002958,重庆银行,2021,2021-1213207165,公司治理/风险管理,,,7,,--- ## 第 1 页 证券代码: 002958 本报告由环保纸张印刷 版权归青岛农商银行所有，未经许可不得转载和 翻印 欢迎您对本报告提出意见和建议 2021 CSR 社会责任报告 CORPORA；最近报告时间 2021年4月 报告周期 年度报告 编制依据 中国银行保险监督管理委员会《中国银监会办公厅关于加强银行业金融机构社会责任的意见》 《商业银行公司治理指引》 中国银行业协会《中国银行业金融；截至2021年末 资产总额 4304.38亿元 各项存款 2688.23亿元 各项贷款 2325.61亿元 英国《银行家》杂志发布的 中国银行业协会发布的2021年 “全球银行1000强”榜单中位居第,False,True,False,True,False,True,False,2,False,展示性,未出现,True
002958,重庆银行,2022,2022-1216700620,公司治理/风险管理,,,7,,--- ## 第 1 页 证券代码: 002958 本报告由环保纸张印刷 版权归青岛农商银行所有，未经许可不得转载和 翻印 欢迎您对本报告提出意见和建议 2022 社会责任报告 CORPORATE S；最近报告时间 2022年4月 报告周期 年度报告 编制依据 中国银行保险监督管理委员会《中国银监会办公厅关于加强银行业金 融机构社会责任的意见》《商业银行公司治理指引》 中国银行业协会 《中国银行业金；03 2022 CSR QRCB 青岛农商银行社会责任报告 公司简介 单位：亿元 资产总额 4347.91 吸收存款 2863.20 发放贷款和垫款总额 2401.82 277 266 中国银行业协会,False,True,False,True,False,True,False,2,False,展示性,未出现,True
002958,重庆银行,2023,2023-1219861227,公司治理/风险管理,,,5,,--- ## 第 1 页 2023年度社会责任报告 2023年度社会责任报告 青 岛 农 商 银 行 2 0 2 3 年 度 社 会 责 任 报 告 --- ## 第 2 页 - 使命 - 扎根大地，；最近报告时间 2023年4月 报告周期 年度报告 编制依据 ● 原中国银行业监督管理委员会《中国银监会办公厅关于加强银行业金融 机构社会责任的意见》 ● 中国银行业协会《中国银行业金融机构企业社会责任；Page 04 --- ## 第 6 页 关键绩效 年度殊荣 2 0 2 3 年 度 社 会 责 任 报 告 0101 年 度 概 况 资产总额 2023 2022 2021 吸收存款 2023 20,False,True,True,True,True,True,False,4,False,展示性,未出现,True
002958,重庆银行,2024,2024-1223278998,公司治理/风险管理,,,6,,--- ## 第 2 页 CONTENETS 目录 关于本报告 董事长致辞 2024 可持续发展亮点 2024 责任亮点： 做好新时代金融“五篇大文章” 走进青岛农商银行 可持续发展治理 01 03 ；报告范围 本报告以青岛农村商业银行股份有限公司（以下简称“本行”、“青岛农商银行”）为主体部分，部分内容涉及本 行发起设立的村镇银行；编制依据 •《深圳证券交易所上市公司自律监管指引第 17 号——可持续发展报告（试行）》 • 原中国银行业监督管理委员会《中国银监会办公厅关于加强银行业金融机构社会责任的意见》 • 中国银行业协会《中,False,True,True,True,True,True,False,4,False,展示性,未出现,True
002958,重庆银行,2025,2025-1225245653,公司治理/风险管理,,,6,,--- ## 第 1 页 2025 青岛农村商业银行股份有限公司 可持续发展（ESG）报告 总行地址：中国 · 青岛市崂山区秦岭路 6 号农商财富大厦 邮编：266061 网址：www.qrcd.co；报告范围 确认及批准 本报告以青岛农村商业银行股份有限公司（以下简称 “本行”、“青岛农商银行”）为主体部分，部分内容涉及本行发 存在任何虚假记载或误导性陈述，并对内容真实性、准确性和完整性负责；编制依据 《深圳证券交易所上市公司自律监管指引第 17 号——可持续发展报告（试行）》 原中国银行业监督管理委员会《中国银监会办公厅关于加强银行业金融机构社会责任的意见》 中国银行业协会《中国银行业金,False,True,True,True,True,True,False,4,False,展示性,未出现,True
002966,南京银行,2021,2021-1212710659,公司治理/风险管理,,,2,页码可能不准确（封面/目录页）,报告范围 组织范围：本报告覆盖苏州银行总行及分支机构；编制依据 原中国银行监督管理委员会《关于加强银行业金 融机构社会责任的意见》 中国银行业协会《中国银行业金融机构企业社会 责任指引》 中国证券监督管理委员会《上市公司治理准则》 深圳证券交易所《上市公；第三方鉴证 为了保证报告的真实性和可靠性，本报告聘请 安永华明会计师事务所（特殊普通合伙）按照 《国际鉴证业务准则第 3000 号（修订）—— 历史财务信息审计或审阅以外的鉴证业务》对 报告中披露的选,True,True,True,True,True,False,True,5,False,展示性,高,True
002966,南京银行,2022,2022-1216563025,公司治理/风险管理,,,1,页码可能不准确（封面/目录页）,报告范围 组织范围：本报告覆盖苏州银行总行及分支机构；编制依据 原中国银行业监督管理委员会《关于加强银行业金融机构社会责任的意见》（2007） 中国银行业协会《中国银行业金融机构企业社会责任指引》（2009） 中国证券监督管理委员会《上市公司治理准则》（；独立鉴证 为了保证报告的真实性和可靠性，本报告聘请安永华明会计师事务所（特殊普通合伙）按照《国际鉴证业务准则第 3000号（修订）—除历史财务信息审计或审阅以外的鉴证业务》对报告中披露的选定关键数据执,False,True,True,True,True,False,True,4,False,展示性,未出现,True
002966,南京银行,2023,2023-1219863836,公司治理/风险管理,,,2,页码可能不准确（封面/目录页）,报告范围 组织范围：本报告覆盖苏州银行总行及分支机构；编制依据 国家金融监督管理总局（原中国银保监会）《关于加强银行业金融机构社会责任的意见》（2007） 中国银行业协会《中国银行业金融机构企业社会责任指引》（2009） 中国证券监督管理委员会《上市公司；独立鉴证 为了保证报告的真实性和可靠性，本报告聘请安永华明会计师事务所（特殊普通合伙）按照《国际鉴证业务准则第 3000 号（修订）—历史财务信息审计或审阅以外的鉴证业务》对报告中披露的选定关键绩效信,False,True,True,True,True,False,True,4,False,展示性,高,True
002966,南京银行,2024,2024-1223374205,公司治理/风险管理,,,1,页码可能不准确（封面/目录页）,报告范围 编制依据 信息来源 独立鉴证 组织范围：本报告覆盖苏州银行总行及分支机构；本报告中的财务数据来自经审计的本行年度财务 海）有限公司按 AA1000AS v3 鉴证标准对报告中披露的信 时间范围：2024 年 1 月 1 日至 2024 年 12 月 31 日（部 分内容超出；中国证券监督管理委员会《上市公司治理准则》（2018） 报告周期：本报告为年度报告,False,True,True,True,True,False,True,4,False,展示性,未出现,True
002966,南京银行,2025,2025-1225240292,公司治理/风险管理,,,4,,报告语言 报告范围 组织范围：本报告覆盖苏州银行总行及分支机构；独立鉴证 为了保证报告的真实性和可靠性，本报告聘请莱茵技术（上海）有限公司按 AA1000AS v3 鉴证标准对报告中披露的信息执 编制依据 国家金融监督管理总局（原中国银监会）《关于加强银行业金融机；行中度鉴证业务，并出具独立鉴证声明,False,True,True,True,True,False,True,4,False,展示性,未出现,True
600000,浦发银行,2021,2021-1213175134,公司治理/风险管理,,,1,页码可能不准确（封面/目录页）,--- ## 第 1 页 2021 浦发银行 企业社会责任报告 SPD BANK Corporate Social Responsibility Report 大连分行志愿者在星海广场开展“守护生物多；深入推进风险管理集约化、垂直化、智能化、专业化“四化” 建设，做到坚持目标导向、标本兼治、融合发展、对标先进和主动作为的“五个坚持”，增 强全员风险意识，实现全行质量、规模与效益的协调发展；进一步升级推出《绿色金融 综合服务方案 3.0》，聚焦绿色能源等六大领域的各类场景，打造立体式、全流程、全覆盖 的服务体系，搭建丰富的“浦发绿创”产品矩阵，满足企业在绿色发展中的金融需求,True,True,True,True,True,True,True,5,False,展示性,未出现,True
600000,浦发银行,2022,2022-1216456472,公司治理/风险管理,,,8,,--- ## 第 1 页 新 思 维 心 服务 2021 2022 浦发银行 浦发银行 企业社会责任报告 企业社会责任报告 SPD BANK SPD BANK Corporate Social Cor；本报告满足原中国银监会《关于加强银行业金融机构社会责任的意见》、中国银行业协会《中国 银行业金融机构企业社会责任指引》、上海证券交易所《上市公司自律监管指引第 1 号——规范 企业社会责任行动准则 编；截至 2022 年末，全行集团绿色金融业务规模超过 1 万亿元，涵盖公司业务、零售业务、 金融市场业务及集团旗下各子公司,False,True,True,True,False,True,True,3,False,平衡（含挑战）,未出现,True
