doc_id,bank_code,year,issue_name,section_title,start_page,end_page,confidence,match_type,quality_issue,manual_check,checker_notes,checker,check_time
2021-1213176178,,2021,普惠金融,包含'个体工商户'的章节,1,7,80,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1213176178,,2021,乡村振兴,包含'乡村振兴'的章节,6,12,80,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216689014,,2022,风险管理,包含'全面风险管理'的章节,3,9,86,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216689014,,2022,公司治理,包含'公司治理'的章节,3,9,86,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216689014,,2022,绿色金融,35亿元，增幅达93.34%。同时注重加强绿色金融产品,1,7,86,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216689014,,2022,消费者权益保护,包含'客户满意度'的章节,10,16,86,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216689014,,2022,普惠金融,包含'个体工商户'的章节,1,7,86,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216689014,,2022,乡村振兴,包含'乡村振兴'的章节,4,10,86,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219866155,,2023,风险管理,包含'风险管理体系'的章节,13,19,91,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219866155,,2023,公司治理,您认为本报告的定量信息披露是否客观、真实、有效？,17,23,91,模糊匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219866155,,2023,绿色金融,您认为本报告是否全面反映了兰州银行在 ESG 方面的表现？,17,23,91,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219866155,,2023,消费者权益保护,包含'消费者权益'的章节,2,8,91,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219866155,,2023,普惠金融,包含'个体工商户'的章节,6,12,91,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219866155,,2023,乡村振兴,包含'乡村振兴'的章节,1,7,91,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1223317301,,2024,风险管理,完善风险管理，护航稳健经营,13,19,94,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1223317301,,2024,公司治理,规范公司治理,2,8,94,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1223317301,,2024,绿色金融,聚焦重点领域，精耕绿色金融,2,8,94,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1223317301,,2024,消费者权益保护,客户隐私与信息安全,2,8,94,模糊匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1223317301,,2024,普惠金融,深耕普惠金融，助力共同富裕,4,10,94,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1223317301,,2024,乡村振兴,乡村振兴,2,8,94,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2025-1225219135,,2025,风险管理,包含'风险管理体系'的章节,4,10,87,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2025-1225219135,,2025,公司治理,您认为我们在公司治理方面做得如何？,19,25,87,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2025-1225219135,,2025,绿色金融,22 亿元，同比增长 24.01%，在全行信贷余额占比达 6.82%。在 《 绿色金融支持项目目录（2025,7,13,87,精确匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2025-1225219135,,2025,消费者权益保护,包含'消费者权益'的章节,1,7,87,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2025-1225219135,,2025,普惠金融,包含'个体工商户'的章节,11,17,87,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2025-1225219135,,2025,乡村振兴,包含'农业产业化'的章节,8,14,87,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1212837562,,2021,风险管理,全面风险管理,2,8,81,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1212837562,,2021,公司治理,公司治理情况,2,8,81,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1212837562,,2021,绿色金融,推行绿色信贷，支持低碳经济，大力发展电子银行。,11,17,81,模糊匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1212837562,,2021,消费者权益保护,丰富产品，提升服务，提升客户满意度。,11,17,81,模糊匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1212837562,,2021,普惠金融,扶持小微企业,4,10,81,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1212837562,,2021,乡村振兴,服务乡村振兴，热心公益，共享发展成果。,11,17,81,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216331264,,2022,风险管理,包含'风险管理体系'的章节,4,10,92,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216331264,,2022,公司治理,优化公司治理机制,3,9,92,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216331264,,2022,绿色金融,发展绿色金融 .................................... 51,1,7,92,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216331264,,2022,消费者权益保护,丰富产品，提升服务，提升客户满意度。,12,18,92,模糊匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216331264,,2022,普惠金融,扶贫助困,5,11,92,模糊匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216331264,,2022,乡村振兴,服务乡村振兴，热心公益，共享发展成果。,12,18,92,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219551828,,2023,风险管理,包含'市场风险'的章节,119,125,89,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219551828,,2023,公司治理,包含'合规'的章节,63,69,89,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219551828,,2023,绿色金融,包含'社会责任'的章节,63,69,89,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219551828,,2023,消费者权益保护,包含'消费者权益'的章节,118,124,89,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1223045161,,2024,风险管理,包含'风险管理体系'的章节,5,11,88,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1223045161,,2024,公司治理,包含'公司治理结构'的章节,3,9,88,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1223045161,,2024,绿色金融,包含'环境信息披露'的章节,1,7,88,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1223045161,,2024,消费者权益保护,包含'消费者权益'的章节,2,8,88,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1223045161,,2024,普惠金融,包含'普惠金融'的章节,1,7,88,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1223045161,,2024,乡村振兴,包含'乡村振兴'的章节,2,8,88,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2025-1225189445,,2025,风险管理,包含'风险管理体系'的章节,4,10,79,内容搜索,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2025-1225189445,,2025,公司治理,包含'投资者关系'的章节,6,12,79,内容搜索,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2025-1225189445,,2025,绿色金融,包含'环境信息披露'的章节,1,7,79,内容搜索,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2025-1225189445,,2025,消费者权益保护,包含'消费者权益'的章节,2,8,79,内容搜索,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2025-1225189445,,2025,普惠金融,包含'个体工商户'的章节,12,18,79,内容搜索,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2025-1225189445,,2025,乡村振兴,包含'乡村振兴'的章节,3,9,79,内容搜索,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2021-1212725606,,2021,风险管理,包含'风险管理'的章节,1,7,87,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1212725606,,2021,公司治理,2 完善公司治理,2,8,87,精确匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1212725606,,2021,绿色金融,1 发展绿色金融,6,12,87,精确匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1212725606,,2021,消费者权益保护,2 保护客户信息安全,5,11,87,精确匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1212725606,,2021,普惠金融,2 践行普惠金融,4,10,87,精确匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1212725606,,2021,乡村振兴,3 支持乡村振兴,4,10,87,精确匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216234647,,2022,风险管理,包含'风险管理'的章节,1,7,85,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216234647,,2022,公司治理,2完善公司治理,2,8,85,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216234647,,2022,绿色金融,1发展绿色金融,5,11,85,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216234647,,2022,消费者权益保护,2保护信息安全,4,10,85,模糊匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216234647,,2022,普惠金融,2夯实普惠金融,3,9,85,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216234647,,2022,乡村振兴,3促进乡村振兴,1,7,85,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219469611,,2023,风险管理,3.1.1  风险管控体系,4,10,92,精确匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219469611,,2023,公司治理,2.1  公司治理体系,3,9,92,精确匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219469611,,2023,绿色金融,1.1  绿色金融工作体系,9,15,92,精确匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219469611,,2023,消费者权益保护,2.3  消费者权益保护,9,15,92,精确匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219469611,,2023,普惠金融,1.2.2  普惠金融业务发展,7,13,92,精确匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219469611,,2023,乡村振兴,包含'乡村振兴'的章节,3,9,92,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1222944077,,2024,风险管理,包含'风险管理体系'的章节,5,11,85,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1222944077,,2024,公司治理,提升公司治理水平,3,9,85,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1222944077,,2024,绿色金融,发展绿色金融,3,9,85,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1222944077,,2024,消费者权益保护,建立多个数据安全相关管理,4,10,85,模糊匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1222944077,,2024,普惠金融,发展普惠金融,3,9,85,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1222944077,,2024,乡村振兴,助力乡村振兴,3,9,85,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2025-1225234343,,2025,风险管理,包含'风险管理体系'的章节,4,10,82,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2025-1225234343,,2025,公司治理,包含'公司治理结构'的章节,8,14,82,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2025-1225234343,,2025,绿色金融,包含'环境信息披露'的章节,6,12,82,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2025-1225234343,,2025,消费者权益保护,包含'消费者权益'的章节,1,7,82,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2025-1225234343,,2025,普惠金融,包含'个体工商户'的章节,8,14,82,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2025-1225234343,,2025,乡村振兴,包含'乡村振兴'的章节,1,7,82,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1212708642,,2021,风险管理,完善全面风险管理体系建设,3,9,94,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1212708642,,2021,公司治理,完善公司治理,1,7,94,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1212708642,,2021,绿色金融,发展绿色金融,1,7,94,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1212708642,,2021,消费者权益保护,保护消费者权益,1,7,94,模糊匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1212708642,,2021,普惠金融,提高普惠金融覆盖面,7,13,94,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1212708642,,2021,乡村振兴,96 亿元，持续推动了乡村振兴工作。,6,12,94,精确匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216235254,,2022,风险管理,细化声誉风险管理,4,10,82,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216235254,,2022,公司治理,完善公司治理,1,7,82,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216235254,,2022,绿色金融,52%；绿色信贷客户数165户，较年初增加80户，增幅达106.25%。本行在2022年制,10,16,82,模糊匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216235254,,2022,消费者权益保护,保护消费者权益,1,7,82,模糊匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216235254,,2022,普惠金融,提高普惠金融覆盖面,7,13,82,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216235254,,2022,乡村振兴,服务三农和乡村振兴,1,7,82,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219911283,,2023,风险管理,包含'风险管理'的章节,4,10,75,内容搜索,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2023-1219911283,,2023,公司治理,投资者关系管理持续提升,5,11,75,模糊匹配,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2023-1219911283,,2023,绿色金融,绿色金融案例,10,16,75,关键词匹配,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2023-1219911283,,2023,消费者权益保护,规范处理客户投诉,8,14,75,模糊匹配,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2023-1219911283,,2023,普惠金融,做深普惠金融，打造情系本土、深耕当地的普惠精品银行,10,16,75,关键词匹配,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2023-1219911283,,2023,乡村振兴,增强政策引导，支持乡村振兴,6,12,75,关键词匹配,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2024-1222945525,,2024,风险管理,加强信息科技风险管理,3,9,91,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1222945525,,2024,公司治理,投资者关系管理持续提升,3,9,91,模糊匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1222945525,,2024,绿色金融,包含'环境信息披露'的章节,7,13,91,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1222945525,,2024,消费者权益保护,健全完善规章制度二、组织开展消费者权益保护宣传活动,6,12,91,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1222945525,,2024,普惠金融,做深普惠金融，打造情系本土、深耕当地的普惠精品银行,7,13,91,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1222945525,,2024,乡村振兴,聚焦农业高质高效，以金融之力赋能“农业强”,5,11,91,模糊匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2025-1225053467,,2025,风险管理,包含'风险管理体系'的章节,13,19,92,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2025-1225053467,,2025,公司治理,包含'投资者关系'的章节,14,20,92,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2025-1225053467,,2025,绿色金融,您对我们的ESG报告或ESG工作和可持续发展管理方面的意见或建议？,19,25,92,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2025-1225053467,,2025,消费者权益保护,您认为我们在产品质量与客户服务方面做得如何？,19,25,92,模糊匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2025-1225053467,,2025,普惠金融,包含'普惠金融'的章节,1,7,92,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2025-1225053467,,2025,乡村振兴,包含'乡村振兴'的章节,1,7,92,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1212750891,,2021,风险管理,包含'风险管理体系'的章节,3,9,75,内容搜索,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2021-1212750891,,2021,公司治理,包含'投资者关系'的章节,3,9,75,内容搜索,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2021-1212750891,,2021,绿色金融,您认为本报告是否反映了郑州银行践行社会责任对经济、社会及环境的影响：,13,19,75,模糊匹配,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2021-1212750891,,2021,消费者权益保护,包含'消费者权益'的章节,3,9,75,内容搜索,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2021-1212750891,,2021,普惠金融,包含'个体工商户'的章节,3,9,75,内容搜索,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2021-1212750891,,2021,乡村振兴,包含'乡村振兴'的章节,6,12,75,内容搜索,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2022-1216278357,,2022,风险管理,包含'风险管理体系'的章节,3,9,91,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216278357,,2022,公司治理,包含'投资者关系'的章节,3,9,91,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216278357,,2022,绿色金融,您认为本报告是否反映了郑州银行践行社会责任对经济、社会及环境的影响：,13,19,91,模糊匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216278357,,2022,消费者权益保护,包含'消费者权益'的章节,3,9,91,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216278357,,2022,普惠金融,包含'个体工商户'的章节,1,7,91,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216278357,,2022,乡村振兴,包含'乡村振兴'的章节,1,7,91,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219447779,,2023,风险管理,包含'风险管理体系'的章节,3,9,82,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219447779,,2023,公司治理,包含'投资者关系'的章节,3,9,82,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219447779,,2023,绿色金融,您认为本报告是否反映了郑州银行践行社会责任对经济、社会及环境的影响：,13,19,82,模糊匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219447779,,2023,消费者权益保护,包含'消费者权益'的章节,3,9,82,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219447779,,2023,普惠金融,包含'个体工商户'的章节,6,12,82,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219447779,,2023,乡村振兴,包含'乡村振兴'的章节,2,8,82,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1222927737,,2024,风险管理,包含'风险管理体系'的章节,4,10,78,内容搜索,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2024-1222927737,,2024,公司治理,包含'投资者关系'的章节,2,8,78,内容搜索,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2024-1222927737,,2024,绿色金融,全球报告倡议组织《可持续发展报告统一标准(GRI Standards 2021)》,11,17,78,关键词匹配,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2024-1222927737,,2024,消费者权益保护,包含'消费者权益'的章节,2,8,78,内容搜索,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2024-1222927737,,2024,普惠金融,包含'普惠金融'的章节,2,8,78,内容搜索,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2024-1222927737,,2024,乡村振兴,22%。普惠型涉农贷款余额93.38亿元，较上年末增长,5,11,78,关键词匹配,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2025-1225059575,,2025,风险管理,包含'风险管理体系'的章节,3,9,94,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2025-1225059575,,2025,公司治理,76%，考试通过率100%，有效提升了员工安全意识与合规执行力，夯实了本行信息安全防线。,8,14,94,模糊匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2025-1225059575,,2025,绿色金融,气候相关目标信息，本行积极践行国家“双碳”目标，系统规划低碳转型路线，并通过绿色金融、节能运营等方式降,15,21,94,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2025-1225059575,,2025,消费者权益保护,76%，考试通过率100%，有效提升了员工安全意识与合规执行力，夯实了本行信息安全防线。,8,14,94,模糊匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
