doc_id,issue_name,section_title,start_page,end_page,confidence,quality_issue
2025-1225219135,绿色金融,22 亿元，同比增长 24.01%，在全行信贷余额占比达 6.82%。在 《 绿色金融支持项目目录（2025,7,13,87,ok
2025-1225219135,消费者权益保护,包含'消费者权益'的章节,1,7,87,ok
2025-1225219135,普惠金融,包含'个体工商户'的章节,11,17,87,ok
2025-1225219135,乡村振兴,包含'农业产业化'的章节,8,14,87,ok
2021-1212837562,风险管理,全面风险管理,2,8,81,ok
2021-1212837562,公司治理,公司治理情况,2,8,81,ok
2021-1212837562,绿色金融,推行绿色信贷，支持低碳经济，大力发展电子银行。,11,17,81,ok
2021-1212837562,消费者权益保护,丰富产品，提升服务，提升客户满意度。,11,17,81,ok
2021-1212837562,普惠金融,扶持小微企业,4,10,81,ok
2021-1212837562,乡村振兴,服务乡村振兴，热心公益，共享发展成果。,11,17,81,ok
2022-1216331264,风险管理,包含'风险管理体系'的章节,4,10,92,ok
2022-1216331264,公司治理,优化公司治理机制,3,9,92,ok
2022-1216331264,绿色金融,发展绿色金融 .................................... 51,1,7,92,ok
2022-1216331264,消费者权益保护,丰富产品，提升服务，提升客户满意度。,12,18,92,ok
2022-1216331264,普惠金融,扶贫助困,5,11,92,ok
2022-1216331264,乡村振兴,服务乡村振兴，热心公益，共享发展成果。,12,18,92,ok
2023-1219551828,风险管理,包含'市场风险'的章节,119,125,89,ok
2023-1219551828,公司治理,包含'合规'的章节,63,69,89,ok
2023-1219551828,绿色金融,包含'社会责任'的章节,63,69,89,ok
2023-1219551828,消费者权益保护,包含'消费者权益'的章节,118,124,89,ok
2024-1223045161,风险管理,包含'风险管理体系'的章节,5,11,88,ok
2024-1223045161,公司治理,包含'公司治理结构'的章节,3,9,88,ok
2024-1223045161,绿色金融,包含'环境信息披露'的章节,1,7,88,ok
2024-1223045161,消费者权益保护,包含'消费者权益'的章节,2,8,88,ok
2024-1223045161,普惠金融,包含'普惠金融'的章节,1,7,88,ok
2024-1223045161,乡村振兴,包含'乡村振兴'的章节,2,8,88,ok
2025-1225189445,风险管理,包含'风险管理体系'的章节,4,10,79,ok
2025-1225189445,公司治理,包含'投资者关系'的章节,6,12,79,ok
2025-1225189445,绿色金融,包含'环境信息披露'的章节,1,7,79,ok
2025-1225189445,消费者权益保护,包含'消费者权益'的章节,2,8,79,ok
2025-1225189445,普惠金融,包含'个体工商户'的章节,12,18,79,ok
2025-1225189445,乡村振兴,包含'乡村振兴'的章节,3,9,79,ok
2021-1212725606,风险管理,包含'风险管理'的章节,1,7,87,ok
2021-1212725606,公司治理,2 完善公司治理,2,8,87,ok
2021-1212725606,绿色金融,1 发展绿色金融,6,12,87,ok
2021-1212725606,消费者权益保护,2 保护客户信息安全,5,11,87,ok
2021-1212725606,普惠金融,2 践行普惠金融,4,10,87,ok
2021-1212725606,乡村振兴,3 支持乡村振兴,4,10,87,ok
2022-1216234647,风险管理,包含'风险管理'的章节,1,7,85,ok
2022-1216234647,公司治理,2完善公司治理,2,8,85,ok
2022-1216234647,绿色金融,1发展绿色金融,5,11,85,ok
2022-1216234647,消费者权益保护,2保护信息安全,4,10,85,ok
2022-1216234647,普惠金融,2夯实普惠金融,3,9,85,ok
2022-1216234647,乡村振兴,3促进乡村振兴,1,7,85,ok
2023-1219469611,风险管理,3.1.1  风险管控体系,4,10,92,ok
2023-1219469611,公司治理,2.1  公司治理体系,3,9,92,ok
2023-1219469611,绿色金融,1.1  绿色金融工作体系,9,15,92,ok
2023-1219469611,消费者权益保护,2.3  消费者权益保护,9,15,92,ok
2023-1219469611,普惠金融,1.2.2  普惠金融业务发展,7,13,92,ok
2023-1219469611,乡村振兴,包含'乡村振兴'的章节,3,9,92,ok
2024-1222944077,风险管理,包含'风险管理体系'的章节,5,11,85,ok
2024-1222944077,公司治理,提升公司治理水平,3,9,85,ok
2024-1222944077,绿色金融,发展绿色金融,3,9,85,ok
2024-1222944077,消费者权益保护,建立多个数据安全相关管理,4,10,85,ok
2024-1222944077,普惠金融,发展普惠金融,3,9,85,ok
2024-1222944077,乡村振兴,助力乡村振兴,3,9,85,ok
2025-1225234343,风险管理,包含'风险管理体系'的章节,4,10,82,ok
2025-1225234343,公司治理,包含'公司治理结构'的章节,8,14,82,ok
2025-1225234343,绿色金融,包含'环境信息披露'的章节,6,12,82,ok
2025-1225234343,消费者权益保护,包含'消费者权益'的章节,1,7,82,ok
2025-1225234343,普惠金融,包含'个体工商户'的章节,8,14,82,ok
2025-1225234343,乡村振兴,包含'乡村振兴'的章节,1,7,82,ok
2021-1212708642,风险管理,完善全面风险管理体系建设,3,9,94,ok
2021-1212708642,公司治理,完善公司治理,1,7,94,ok
2021-1212708642,绿色金融,发展绿色金融,1,7,94,ok
2021-1212708642,消费者权益保护,保护消费者权益,1,7,94,ok
2021-1212708642,普惠金融,提高普惠金融覆盖面,7,13,94,ok
2021-1212708642,乡村振兴,96 亿元，持续推动了乡村振兴工作。,6,12,94,ok
2022-1216235254,风险管理,细化声誉风险管理,4,10,82,ok
2022-1216235254,公司治理,完善公司治理,1,7,82,ok
2022-1216235254,绿色金融,52%；绿色信贷客户数165户，较年初增加80户，增幅达106.25%。本行在2022年制,10,16,82,ok
2022-1216235254,消费者权益保护,保护消费者权益,1,7,82,ok
2022-1216235254,普惠金融,提高普惠金融覆盖面,7,13,82,ok
2022-1216235254,乡村振兴,服务三农和乡村振兴,1,7,82,ok
2023-1219911283,风险管理,包含'风险管理'的章节,4,10,75,ok
2023-1219911283,公司治理,投资者关系管理持续提升,5,11,75,ok
2023-1219911283,绿色金融,绿色金融案例,10,16,75,ok
2023-1219911283,消费者权益保护,规范处理客户投诉,8,14,75,ok
2023-1219911283,普惠金融,做深普惠金融，打造情系本土、深耕当地的普惠精品银行,10,16,75,ok
2023-1219911283,乡村振兴,增强政策引导，支持乡村振兴,6,12,75,ok
2024-1222945525,风险管理,加强信息科技风险管理,3,9,91,ok
2024-1222945525,公司治理,投资者关系管理持续提升,3,9,91,ok
2024-1222945525,绿色金融,包含'环境信息披露'的章节,7,13,91,ok
2024-1222945525,消费者权益保护,健全完善规章制度二、组织开展消费者权益保护宣传活动,6,12,91,ok
2024-1222945525,普惠金融,做深普惠金融，打造情系本土、深耕当地的普惠精品银行,7,13,91,ok
2024-1222945525,乡村振兴,聚焦农业高质高效，以金融之力赋能“农业强”,5,11,91,ok
2025-1225053467,风险管理,包含'风险管理体系'的章节,13,19,92,ok
2025-1225053467,公司治理,包含'投资者关系'的章节,14,20,92,ok
2025-1225053467,绿色金融,您对我们的ESG报告或ESG工作和可持续发展管理方面的意见或建议？,19,25,92,ok
2025-1225053467,消费者权益保护,您认为我们在产品质量与客户服务方面做得如何？,19,25,92,ok
2025-1225053467,普惠金融,包含'普惠金融'的章节,1,7,92,ok
2025-1225053467,乡村振兴,包含'乡村振兴'的章节,1,7,92,ok
2021-1212750891,风险管理,包含'风险管理体系'的章节,3,9,75,ok
2021-1212750891,公司治理,包含'投资者关系'的章节,3,9,75,ok
2021-1212750891,绿色金融,您认为本报告是否反映了郑州银行践行社会责任对经济、社会及环境的影响：,13,19,75,ok
2021-1212750891,消费者权益保护,包含'消费者权益'的章节,3,9,75,ok
2021-1212750891,普惠金融,包含'个体工商户'的章节,3,9,75,ok
2021-1212750891,乡村振兴,包含'乡村振兴'的章节,6,12,75,ok
2022-1216278357,风险管理,包含'风险管理体系'的章节,3,9,91,ok
2022-1216278357,公司治理,包含'投资者关系'的章节,3,9,91,ok
2022-1216278357,绿色金融,您认为本报告是否反映了郑州银行践行社会责任对经济、社会及环境的影响：,13,19,91,ok
2022-1216278357,消费者权益保护,包含'消费者权益'的章节,3,9,91,ok
2022-1216278357,普惠金融,包含'个体工商户'的章节,1,7,91,ok
2022-1216278357,乡村振兴,包含'乡村振兴'的章节,1,7,91,ok
2023-1219447779,风险管理,包含'风险管理体系'的章节,3,9,82,ok
2023-1219447779,公司治理,包含'投资者关系'的章节,3,9,82,ok
2023-1219447779,绿色金融,您认为本报告是否反映了郑州银行践行社会责任对经济、社会及环境的影响：,13,19,82,ok
2023-1219447779,消费者权益保护,包含'消费者权益'的章节,3,9,82,ok
2023-1219447779,普惠金融,包含'个体工商户'的章节,6,12,82,ok
2023-1219447779,乡村振兴,包含'乡村振兴'的章节,2,8,82,ok
2024-1222927737,风险管理,包含'风险管理体系'的章节,4,10,78,ok
2024-1222927737,公司治理,包含'投资者关系'的章节,2,8,78,ok
2024-1222927737,绿色金融,全球报告倡议组织《可持续发展报告统一标准(GRI Standards 2021)》,11,17,78,ok
2024-1222927737,消费者权益保护,包含'消费者权益'的章节,2,8,78,ok
2024-1222927737,普惠金融,包含'普惠金融'的章节,2,8,78,ok
2024-1222927737,乡村振兴,22%。普惠型涉农贷款余额93.38亿元，较上年末增长,5,11,78,ok
2025-1225059575,风险管理,包含'风险管理体系'的章节,3,9,94,ok
2025-1225059575,公司治理,76%，考试通过率100%，有效提升了员工安全意识与合规执行力，夯实了本行信息安全防线。,8,14,94,ok
2025-1225059575,绿色金融,气候相关目标信息，本行积极践行国家“双碳”目标，系统规划低碳转型路线，并通过绿色金融、节能运营等方式降,15,21,94,ok
2025-1225059575,消费者权益保护,76%，考试通过率100%，有效提升了员工安全意识与合规执行力，夯实了本行信息安全防线。,8,14,94,ok
2025-1225059575,普惠金融,包含'中小企业融资'的章节,6,12,94,ok
2025-1225059575,乡村振兴,包含'乡村振兴'的章节,3,9,94,ok
2021-1212688376,风险管理,包含'风险管理体系'的章节,6,12,80,ok
2021-1212688376,公司治理,包含'投资者关系'的章节,4,10,80,ok
2021-1212688376,绿色金融,您认为本报告是否真实全面反映了青岛银行在经济、环境、社会方面的社会责任实践 ：,16,22,80,ok
2021-1212688376,消费者权益保护,包含'消费者权益'的章节,2,8,80,ok
2021-1212688376,普惠金融,包含'普惠金融'的章节,1,7,80,ok
2021-1212688376,乡村振兴,包含'乡村振兴'的章节,1,7,80,ok
2022-1216303439,风险管理,包含'风险管理体系'的章节,5,11,79,ok
2022-1216303439,公司治理,包含'投资者关系'的章节,3,9,79,ok
2022-1216303439,绿色金融,您认为本报告是否真实全面反映了青岛银行在经济、环境、社会方面的社会责任实践 ：,17,23,79,ok
2022-1216303439,消费者权益保护,包含'消费者权益'的章节,3,9,79,ok
2022-1216303439,普惠金融,包含'普惠金融'的章节,1,7,79,ok
2022-1216303439,乡村振兴,包含'乡村振兴'的章节,7,13,79,ok
2023-1219448240,风险管理,包含'风险管理体系'的章节,12,18,78,ok
2023-1219448240,公司治理,包含'投资者关系'的章节,3,9,78,ok
2023-1219448240,绿色金融,您认为本报告是否真实全面反映了青岛银行在经济、环境、社会方面的社会责任实践 ：,16,22,78,ok
2023-1219448240,消费者权益保护,包含'消费者权益'的章节,2,8,78,ok
2023-1219448240,普惠金融,包含'普惠金融'的章节,1,7,78,ok
2023-1219448240,乡村振兴,包含'乡村振兴'的章节,1,7,78,ok
2024-1222910646,风险管理,包含'风险管理体系'的章节,1,7,82,ok
2024-1222910646,公司治理,包含'投资者关系'的章节,2,8,82,ok
2024-1222910646,绿色金融,"""63亿元 ；碳减排支持工具落地3笔，总金额1.98亿元，带动年度碳减排量87","208.81吨二氧化碳，为山东省经济低碳高""",6,82,ok
2024-1222910646,消费者权益保护,包含'消费者权益'的章节,2,8,82,ok
2024-1222910646,普惠金融,包含'普惠金融'的章节,1,7,82,ok
2024-1222910646,乡村振兴,包含'乡村振兴'的章节,2,8,82,ok
2025-1225036797,风险管理,包含'风险管理体系'的章节,6,12,80,ok
2025-1225036797,公司治理,包含'投资者关系'的章节,5,11,80,ok
2025-1225036797,绿色金融,《深圳证券交易所上市公司自律监管指引第17号 —— 可持续发展报告（试,24,30,80,ok
2025-1225036797,消费者权益保护,包含'消费者权益'的章节,1,7,80,ok
2025-1225036797,普惠金融,包含'个体工商户'的章节,11,17,80,ok
2025-1225036797,乡村振兴,包含'乡村振兴'的章节,1,7,80,ok
2021-1213207165,风险管理,包含'风险管理体系'的章节,7,13,93,ok
2021-1213207165,公司治理,1符合负责任原则的相关治理结构、政策和流程,14,20,93,ok
2021-1213207165,绿色金融,2与客户共同致力于可持续发展实践与可持续性经济行为,14,20,93,ok
2021-1213207165,消费者权益保护,包含'消费者权益'的章节,1,7,93,ok
2021-1213207165,普惠金融,包含'中小企业融资'的章节,5,11,93,ok
2021-1213207165,乡村振兴,包含'乡村振兴'的章节,3,9,93,ok
2022-1216700620,风险管理,包含'风险管理体系'的章节,7,13,86,ok
2022-1216700620,公司治理,包含'投资者关系'的章节,7,13,86,ok
2022-1216700620,绿色金融,包含'可持续发展'的章节,12,18,86,ok
2022-1216700620,消费者权益保护,98分；共有17950位客户配合完成客户满意度评价，客户满意度平均得分97.06分。,9,15,86,ok
2022-1216700620,普惠金融,包含'中小企业融资'的章节,4,10,86,ok
2022-1216700620,乡村振兴,包含'乡村振兴'的章节,3,9,86,ok
2023-1219861227,风险管理,包含'风险管理体系'的章节,5,11,77,ok
2023-1219861227,公司治理,包含'投资者关系'的章节,5,11,77,ok
2023-1219861227,绿色金融,包含'可持续发展'的章节,3,9,77,ok
2023-1219861227,消费者权益保护,包含'消费者权益'的章节,7,13,77,ok
2023-1219861227,普惠金融,包含'个体工商户'的章节,2,8,77,ok
2023-1219861227,乡村振兴,包含'乡村振兴'的章节,1,7,77,ok
2024-1223278998,风险管理,包含'风险管理体系'的章节,6,12,92,ok
2024-1223278998,公司治理,您认为我们在公司治理方面做得如何？□ 非常好  □ 好  □ 一般  □ 较差  □ 差,26,32,92,ok
2024-1223278998,绿色金融,您认为我们在绿色金融方面做得如何？□ 非常好  □ 好  □ 一般  □ 较差  □ 差,26,32,92,ok
2024-1223278998,消费者权益保护,您认为我们在客户服务方面做得如何？□ 非常好  □ 好  □ 一般  □ 较差  □ 差,26,32,92,ok
2024-1223278998,普惠金融,包含'个体工商户'的章节,14,20,92,ok
2024-1223278998,乡村振兴,包含'乡村振兴'的章节,1,7,92,ok
2025-1225245653,风险管理,包含'风险管理体系'的章节,6,12,83,ok
2025-1225245653,公司治理,您认为我们在公司治理方面做得如何？,28,34,83,ok
2025-1225245653,绿色金融,您认为我们在绿色金融方面做得如何？,28,34,83,ok
2025-1225245653,消费者权益保护,您认为我们在客户服务方面做得如何？,28,34,83,ok
2025-1225245653,普惠金融,包含'个体工商户'的章节,14,20,83,ok
2025-1225245653,乡村振兴,包含'乡村振兴'的章节,1,7,83,ok
2021-1212710659,风险管理,包含'全面风险管理'的章节,2,8,79,ok
2021-1212710659,公司治理,包含'投资者关系'的章节,2,8,79,ok
2021-1212710659,绿色金融,二、三产业的绿色金融全面品牌序列。建立覆盖绿色信贷、绿色直接融资、碳金融的,3,9,79,ok
2021-1212710659,消费者权益保护,包含'消费者权益'的章节,1,7,79,ok
2021-1212710659,普惠金融,06 亿元；民营企业贷款余额 793.13,1,7,79,ok
2021-1212710659,乡村振兴,包含'乡村振兴'的章节,3,9,79,ok
2022-1216563025,风险管理,包含'风险管理体系'的章节,1,7,88,ok
2022-1216563025,公司治理,包含'投资者关系'的章节,1,7,88,ok
2022-1216563025,绿色金融,您对苏州银行履行社会责任的其他建议？,36,42,88,ok
2022-1216563025,消费者权益保护,包含'消费者权益'的章节,2,8,88,ok
2022-1216563025,普惠金融,包含'个体工商户'的章节,6,12,88,ok
2022-1216563025,乡村振兴,包含'农业产业化'的章节,8,14,88,ok
2023-1219863836,风险管理,包含'风险管理体系'的章节,2,8,87,ok
2023-1219863836,公司治理,包含'投资者关系'的章节,2,8,87,ok
2023-1219863836,绿色金融,promoting the practice of the ESG concept across the Bank in all respects. According to the 2024,37,43,87,ok
2023-1219863836,消费者权益保护,包含'消费者权益'的章节,1,7,87,ok
2023-1219863836,普惠金融,68 亿元，较年初增长 108.10 亿元，增幅 19.60%；服务民营企业对公贷款户数 8532 户，较年初增长 1085 户，增,7,13,87,ok
2023-1219863836,乡村振兴,91 亿元，增速 24.97%；普惠型涉农贷款余额 90.38 亿元，,9,15,87,ok
2024-1223374205,风险管理,包含'风险管理体系'的章节,1,7,82,ok
2024-1223374205,公司治理,包含'投资者关系'的章节,3,9,82,ok
2024-1223374205,绿色金融,您对苏州银行履行社会责任的其他建议？,43,49,82,ok
2024-1223374205,消费者权益保护,75%）和银行卡业务（占比 31.13%）；从地域分布看，苏州地区客户投诉占比较高（占比 81.16%）。苏州银行将持,12,18,82,ok
2024-1223374205,普惠金融,包含'个体工商户'的章节,10,16,82,ok
2024-1223374205,乡村振兴,包含'农业产业化'的章节,10,16,82,ok
2025-1225240292,风险管理,包含'风险管理体系'的章节,4,10,83,ok
2025-1225240292,公司治理,包含'投资者关系'的章节,2,8,83,ok
2025-1225240292,绿色金融,您对苏州银行履行社会责任的其他建议？,45,51,83,ok
2025-1225240292,消费者权益保护,12%）和银行卡业务（占比 26.62%）；从地域分布看，涉及苏州地区业务类客户投诉占比较高（占比 91.87%）。苏州,12,18,83,ok
2025-1225240292,普惠金融,包含'普惠金融'的章节,1,7,83,ok
2025-1225240292,乡村振兴,32 亿元，较年初增长 20.87 亿元。围绕农业产业发展需求，本行创新“银行 + 龙头企业 + 合作社 + 种植大户”联动服,11,17,83,ok
2021-1213175134,风险管理,包含'风险管理'的章节,1,7,86,ok
2021-1213175134,公司治理,开设合规案防系列线上课程 14 期，包含合规销售、员工行为管理、警示教育等多个专题，,12,18,86,ok
2021-1213175134,绿色金融,您认为本报告能否反映浦发银行的社会责任实践对经济、社会、环境的影响？,17,23,86,ok
2021-1213175134,消费者权益保护,开展全员金融消费者权益保护知识在线培训，通过动画微课形式，提升培训趣味性及效果，,12,18,86,ok
2021-1213175134,普惠金融,包含'个体工商户'的章节,6,12,86,ok
2021-1213175134,乡村振兴,绿色农业开发项目,14,20,86,ok
2022-1216456472,风险管理,包含'全面风险管理'的章节,8,14,94,ok
2022-1216456472,公司治理,包含'公司治理结构'的章节,2,8,94,ok
2022-1216456472,绿色金融,您认为本报告能否反映浦发银行的社会责任实践对经济、社会、环境的影响？,17,23,94,ok
2022-1216456472,消费者权益保护,包含'消费者权益'的章节,1,7,94,ok
2022-1216456472,普惠金融,包含'个体工商户'的章节,4,10,94,ok
2022-1216456472,乡村振兴,包含'乡村振兴'的章节,2,8,94,ok
2023-1219910195,风险管理,包含'风险管理体系'的章节,10,16,87,ok
2023-1219910195,公司治理,包含'公司治理结构'的章节,2,8,87,ok
2023-1219910195,绿色金融,您认为本报告能否反映浦发银行的社会责任实践对经济、社会、环境的影响？,21,27,87,ok
2023-1219910195,消费者权益保护,包含'消费者权益'的章节,2,8,87,ok
2023-1219910195,普惠金融,包含'个体工商户'的章节,14,20,87,ok
2023-1219910195,乡村振兴,包含'乡村振兴'的章节,2,8,87,ok
2024-1222948224,风险管理,包含'风险管理体系'的章节,4,10,78,ok
2024-1222948224,公司治理,包含'公司治理结构'的章节,2,8,78,ok
2024-1222948224,绿色金融,绿色信贷余额及增长率为中国人民银行统计口径。,33,39,78,ok
2024-1222948224,消费者权益保护,客服中心客户申诉按时处理率根据监管对于投诉处理时效的要求，拟将原“按时办结率”统一调整为“投诉处理15日内办结,33,39,78,ok
2024-1222948224,普惠金融,包含'普惠金融'的章节,1,7,78,ok
2024-1222948224,乡村振兴,社会公益投入资金金额包含乡村振兴帮扶投入金额。,33,39,78,ok
2025-1225062320,风险管理,包含'风险管理体系'的章节,4,10,86,ok
2025-1225062320,公司治理,包含'投资者关系'的章节,3,9,86,ok
2025-1225062320,绿色金融,包含'环境信息披露'的章节,13,19,86,ok
2025-1225062320,消费者权益保护,包含'消费者权益'的章节,1,7,86,ok
2025-1225062320,普惠金融,包含'个体工商户'的章节,26,32,86,ok
2025-1225062320,乡村振兴,包含'农业产业化'的章节,8,14,86,ok
2021-1213267945,绿色金融,包含'ESG'的章节,8,14,92,ok
2022-1216660905,风险管理,包含'风险管理体系'的章节,14,20,80,ok
2022-1216660905,公司治理,包含'投资者关系'的章节,2,8,80,ok
2022-1216660905,绿色金融,包含'环境信息披露'的章节,1,7,80,ok
2022-1216660905,消费者权益保护,99%，办结率达 100%，投诉处理满意度为 98.04%。,15,21,80,ok
2022-1216660905,普惠金融,包含'个体工商户'的章节,8,14,80,ok
2022-1216660905,乡村振兴,包含'乡村振兴'的章节,1,7,80,ok
2023-1219904606,风险管理,包含'风险管理体系'的章节,4,10,79,ok
2023-1219904606,公司治理,包含'公司治理结构'的章节,3,9,79,ok
2023-1219904606,绿色金融,包含'环境信息披露'的章节,1,7,79,ok
2023-1219904606,消费者权益保护,包含'消费者权益'的章节,1,7,79,ok
2023-1219904606,普惠金融,包含'普惠金融'的章节,1,7,79,ok
2023-1219904606,乡村振兴,包含'乡村振兴'的章节,1,7,79,ok
2024-1223129821,公司治理,包含'内部控制'的章节,85,91,90,ok
2024-1223129821,绿色金融,包含'社会责任'的章节,85,91,90,ok
2024-1223129821,普惠金融,包含'小微企业'的章节,85,91,90,ok
2024-1223129821,乡村振兴,包含'涉农贷款'的章节,85,91,90,ok
2025-1225058304,风险管理,包含'风险管理体系'的章节,1,7,81,ok
2025-1225058304,公司治理,包含'公司治理结构'的章节,12,18,81,ok
2025-1225058304,绿色金融,措纳入战略规划与绿色金融业务发展方向调整。本行在《华夏银行 2021,10,16,81,ok
2025-1225058304,消费者权益保护,包含'消费者权益'的章节,1,7,81,ok
2025-1225058304,普惠金融,包含'个体工商户'的章节,18,24,81,ok
2025-1225058304,乡村振兴,"""78 亿元。本行加强涉农贷款投放，截至 2025 年末，涉农贷款余额 2","181.55""",18,81,ok
2021-1212728495,风险管理,严守合规底线，强化风险管理..................................................................24,1,7,91,ok
2021-1212728495,公司治理,严守合规底线，强化风险管理..................................................................24,1,7,91,ok
2021-1212728495,绿色金融, 大力发展绿色金融，制定《中国民生银行绿色金融发展五年规划（2021,2,8,91,ok
2021-1212728495,消费者权益保护,客户投诉处理,9,15,91,ok
2021-1212728495,普惠金融,聚焦民营企业,4,10,91,ok
2021-1212728495,乡村振兴,包含'乡村振兴'的章节,1,7,91,ok
2021-1212728499,风险管理,包含'风险管理体系'的章节,5,11,94,ok
2021-1212728499,公司治理,稳健经营，强化合规控风险......................................... 26,1,7,94,ok
2021-1212728499,绿色金融,创新环保，绿色发展护生态......................................... 37,1,7,94,ok
2021-1212728499,消费者权益保护,97%，客户满意度达到 99.69%。本行针对客户投诉反映的问题进行分析，不断,5,11,94,ok
2021-1212728499,普惠金融,包含'个体工商户'的章节,3,9,94,ok
